"","Station","avpercent","sdpercent","avconc","sdconc","avloggrazing","sdloggrazing","avgrazing","sdgrazing","avnano","sdnano","avnanoBR","sdnanoBR","Cruise","Depth"
"1","1",0.79042811285303,0.19732298381964,30.5524056391876,4.84358859150881,-1.61922353660453,0.0753065867394258,0.0242802903421663,0.0043854815156019,5486.35409570689,1126.28604030995,0.745385581322235,0.192095037772061,"California Current System","Surface"
"2","2",0.334794402792927,0.0187397360417936,24.1264209150327,27.5863115626239,-2.27721590407538,0.475540292632237,0.00694569352945607,0.00637886697770186,9928.86553127918,4703.9328071493,0.255559431570184,0.345505295387113,"California Current System","Surface"
"3","3",0.949835282977926,0.475654256770388,64.0493475935829,40.0925461107512,-1.03729957089408,0.294666192276546,0.102535750785141,0.0646816670300685,6404.82487675662,38.7630344610838,7.86397430176811,8.253737890895,"California Current System","Surface"
"4","4",0,0,0,0,-Inf,NA,0,0,2175.99854041514,259.556039535161,0,0,"California Current System","Surface"
"5","5",0.474076225647835,0.670445027909816,12.8881498972657,12.0559740553921,-1.82303968787333,0.510444538131647,0.0205265213616186,0.0197704726290411,2248.64932440335,113.499293425558,0.383725036717246,0.502272023765994,"California Current System","Surface"
"6","6",0.493463490152232,0.238702512785516,18.2718962623951,6.35418774702134,-1.38248938298898,0.221465826148957,0.0441726019515314,0.0215975174507466,4162.56350403374,642.26136276226,0.875734540874261,0.675308604459782,"California Current System","Surface"
"7","7",0.623052959501558,NA,24.9330793650794,NA,-1.16518136344762,NA,0.0683626102141303,NA,3202.0673837535,NA,1.7044903860729,NA,"California Current System","Surface"
"8","8",1.47058823529412,0.693241942339752,18.3132269230769,8.81093668267257,-1.10218847151103,0.0327516162198191,0.079145953144612,0.00596301305087588,1159.63842029915,479.246722694391,1.4756876651951,0.806551992992905,"California Current System","Surface"
"9","9",0.325218142114963,0.0068092419892893,7.15316738765731,2.0674685206562,-1.35032060486634,0.0769999679281545,0.044986633607405,0.00793455729741768,1492.94016110489,172.582384905996,0.329999144119855,0.149765665328991,"California Current System","Surface"
"10","10",1.75518925518926,0.23742901688193,123.895433516916,39.7619172518958,-0.562002680100415,0.121056382467106,0.279498287894166,0.0769146436660992,6473.19279975527,309.782797716498,36.1576983943387,20.6427609161048,"California Current System","Surface"
