Distance_(pixels),Gray_Value
0,43
1,38
2,37
3,38
4,36
5,39
6,46
7,45
8,42
9,44
10,44
11,43
12,48
13,50
14,51
15,51
16,46
17,43
18,48
19,48
20,54
21,50
22,49
23,49
24,44
25,45
26,41
27,42
28,45
29,47
30,46
31,44
32,46
33,43
34,46
35,46
36,48
37,50
38,50
39,53
40,56
41,58
42,51
43,51
44,53
45,54
46,59
47,59
48,63
49,67
50,74
51,77
52,76
53,77
54,75
55,78
56,77
57,78
58,78
59,82
60,82
61,83
62,83
63,83
64,80
65,78
66,80
67,81
68,82
69,79
70,78
71,79
72,80
73,78
74,83
75,84
76,81
77,85
78,86
79,84
80,86
81,85
82,87
83,85
84,82
85,79
86,84
87,85
88,88
89,91
90,92
91,90
92,88
93,86
94,89
95,86
96,86
97,89
98,91
99,91
100,90
101,88
102,87
103,85
104,86
105,90
106,92
107,97
108,91
109,94
110,96
111,99
112,101
113,102
114,97
115,100
116,97
117,99
118,100
119,103
120,98
121,98
122,98
123,97
124,94
125,92
126,92
127,91
128,95
129,94
130,92
131,88
132,86
133,83
134,89
135,85
136,90
137,87
138,84
139,83
140,85
141,87
142,87
143,89
144,91
145,87
146,82
147,83
148,78
149,79
150,79
151,74
152,73
153,73
154,71
155,72
156,69
157,64
158,63
159,58
160,58
161,57
162,54
163,51
164,50
165,49
166,46
167,46
168,47
169,45
170,44
171,46
172,45
173,46
174,43
175,42
176,44
177,41
178,43
179,41
180,41
181,39
182,40
183,44
184,42
185,42
186,36
187,34
188,38
189,34
190,37
191,39
192,38
193,37
194,35
195,33
196,33
197,35
198,33
199,37
200,36
201,37
202,39
203,30
204,30
205,32
206,37
207,36
