Distance_(pixels),Gray_Value
0,86.0000
1,83.3258
2,81.7665
3,81.1109
4,82.4824
5,82.1274
6,80.9104
7,81.5264
8,79.5744
9,79.4512
10,79.8086
11,78.4375
12,78.3388
13,76.7455
14,77.5098
15,77.5897
16,78.0992
17,77.1202
18,74.3887
19,76.9742
20,78.3698
21,75.0451
22,76.6875
23,77.6711
24,77.5289
25,75.3606
26,73.5726
27,70.7395
28,72.8419
29,74.1907
30,78.7825
31,79.0568
32,71.7107
33,73.7344
34,77.9659
35,80.2375
36,77.1870
37,76.0889
38,73.9773
39,71.5948
40,74.8017
41,77.4544
42,77.8042
43,75.9842
44,70.0000
45,67.1881
46,71.9910
47,72.6056
48,73.9256
49,73.4357
50,72.0806
51,71.4886
52,71.3771
53,71.9784
54,71.5927
55,72.9453
56,73.3471
57,72.3387
58,68.5421
59,67.4866
60,69.9453
61,71.5487
62,71.5387
63,72.2471
64,72.4050
65,75.0792
66,77.9688
67,77.8860
68,77.5227
69,78.0000
70,78.0090
71,77.4862
72,78.2645
73,79.9882
74,82.0664
75,83.0148
76,81.8657
77,82.0234
78,82.6741
79,83.9295
80,84.2479
81,86.8194
82,86.9323
83,89.0251
84,92.2500
85,91.3694
86,88.8623
87,85.1601
88,87.5000
89,89.3125
90,90.6627
91,90.0455
92,89.3709
93,85.8580
94,84.0669
95,80.7199
96,85.0744
97,96.1636
98,105.5687
99,112.3125
100,108.1601
101,101.6318
102,96.9592
103,92.0210
104,91.8264
105,91.3962
106,89.6046
107,87.3436
108,84.5083
109,85.0041
110,82.4688
111,81.8412
112,83.0413
113,82.2016
114,84.3729
115,86.2904
116,87.7242
117,83.5978
118,81.4917
119,83.3545
120,84.0331
121,84.6953
122,84.5132
123,84.8954
124,79.9494
125,77.9575
126,75.3750
127,78.1875
128,78.0909
129,77.0995
130,77.0997
131,77.2743
132,79.5000
133,81.6187
134,78.9669
135,79.0081
136,77.4008
137,75.9835
138,78.1012
139,80.0487
140,82.1126
141,81.7115
142,82.5191
143,80.9219
144,77.6942
145,76.9352
146,79.0390
147,79.7090
148,79.9349
149,78.3977
150,77.6976
151,78.1535
152,78.1942
153,74.4274
154,74.2500
155,75.5685
156,77.6498
157,77.7131
158,79.1591
159,77.4237
160,77.2314
161,78.3340
162,78.0553
163,75.7978
164,73.5455
165,72.5469
166,74.4941
167,75.8875
168,77.3926
169,75.4412
170,75.5127
171,74.3585
172,74.1767
173,74.8835
174,72.9672
175,73.2320
176,74.0000
