Distance_(microns),Gray_Value
0.0000,5484.000
0.1083,5670.074
0.2167,5756.992
0.3250,6166.389
0.4333,6464.752
0.5417,6355.913
0.6500,6668.521
0.7583,7039.550
0.8667,7362.008
0.9750,7607.256
1.0833,7829.198
1.1917,7985.000
1.3000,8313.132
1.4083,8450.422
1.5167,9155.198
1.6250,9410.781
1.7333,9602.562
1.8417,10108.450
1.9500,10633.355
2.0583,11012.694
2.1667,11367.198
2.2750,11757.078
2.3833,12264.000
2.4917,12593.863
2.6000,12999.215
2.7083,13275.558
2.8167,13735.083
2.9250,14008.785
3.0333,14589.281
3.1417,14793.926
3.2500,15037.454
3.3583,15519.909
3.4667,15758.190
3.5750,16116.500
3.6833,16308.719
3.7917,16633.871
3.9000,17091.586
4.0083,17499.344
4.1167,18002.844
4.2250,18493.359
4.3333,19326.604
4.4417,19730.156
4.5500,19908.545
4.6583,20524.152
4.7667,20853.000
4.8750,21027.230
4.9833,21601.719
5.0917,22257.979
5.2000,22322.488
5.3083,23113.555
5.4167,23011.100
5.5250,23472.992
5.6333,24060.900
5.7417,24423.471
5.8500,24684.438
5.9583,25159.000
6.0667,25439.596
6.1750,26181.699
6.2833,26408.629
6.3917,26351.656
6.5000,26931.148
6.6083,27746.355
6.7167,27493.967
6.8250,27998.555
6.9333,28475.727
7.0417,29121.537
7.1500,29587.000
7.2583,30324.252
7.3667,30468.918
7.4750,30727.438
7.5833,31578.852
7.6917,31349.662
7.8000,32378.107
7.9083,33148.184
8.0167,33345.043
8.1250,33759.191
8.2333,34367.223
8.3417,35636.500
8.4500,35801.586
8.5583,35951.934
8.6667,36042.031
8.7750,36638.742
8.8833,37097.816
8.9917,37900.922
9.1000,38343.438
9.2083,38626.234
9.3167,39075.043
9.4250,39248.992
9.5333,40006.000
9.6417,40856.773
9.7500,41063.547
9.8583,40984.082
9.9667,41985.875
10.0750,41601.172
10.1833,41688.852
10.2917,41840.668
10.4000,42595.949
10.5083,42817.418
10.6167,42588.191
10.7250,42452.000
10.8333,42469.133
10.9417,42733.738
11.0500,42494.652
11.1583,42500.156
11.2667,42267.312
11.3750,41874.344
11.4833,41772.527
11.5917,41558.000
11.7000,41125.066
11.8083,40698.508
11.9167,40994.000
12.0250,39892.824
12.1333,39671.918
12.2417,39397.387
12.3500,38487.141
12.4583,38497.578
12.5667,38224.164
12.6750,37624.734
12.7833,37084.312
12.8917,36744.871
13.0000,36661.688
13.1083,35916.000
13.2167,35614.594
13.3250,35014.980
13.4333,34810.398
13.5417,34163.562
13.6500,33687.977
13.7583,33576.527
13.8667,33367.273
13.9750,32223.877
14.0833,31622.471
14.1917,31035.479
14.3000,30765.000
14.4083,29713.979
14.5167,29107.314
14.6250,28853.193
14.7333,28120.504
14.8417,27690.512
14.9500,26684.314
15.0583,26199.393
15.1667,25708.512
15.2750,25124.385
15.3833,24765.016
15.4917,24313.000
15.6000,23247.844
15.7083,22225.488
15.8167,22118.984
15.9250,21402.178
16.0333,20606.652
16.1417,20072.430
16.2500,19434.422
16.3583,18964.141
16.4667,17979.629
16.5750,17278.086
16.6833,16130.000
16.7917,15964.570
16.9000,15474.562
17.0083,14900.996
17.1167,14004.314
17.2250,13803.996
17.3333,13041.157
17.4417,12419.400
17.5500,11879.645
17.6583,11731.438
17.7667,11174.694
17.8750,10611.500
17.9833,10196.578
18.0917,9780.104
18.2000,9325.744
18.3083,9062.141
18.4167,8717.050
18.5250,8512.476
18.6333,8344.223
18.7417,7970.595
18.8500,7442.281
18.9583,7271.488
19.0667,7223.000
