Distance_(microns),Gray_Value
0.0000,1415.000
0.1083,1571.521
0.2167,1688.876
0.3250,1728.984
0.4333,1726.430
0.5417,2007.141
0.6500,2128.950
0.7583,2229.058
0.8667,2341.645
0.9750,2395.574
1.0833,2633.736
1.1917,2634.000
1.3000,2832.380
1.4083,3058.413
1.5167,3188.339
1.6250,3655.521
1.7333,4224.173
1.8417,4777.331
1.9500,5793.297
2.0583,6913.889
2.1667,7789.372
2.2750,8426.021
2.3833,8858.000
2.4917,10072.409
2.6000,10780.826
2.7083,11151.174
2.8167,11430.165
2.9250,11900.033
3.0333,11964.669
3.1417,12484.393
3.2500,13005.611
3.3583,13933.231
3.4667,16671.512
3.5750,21328.500
3.6833,28313.951
3.7917,36049.660
3.9000,43793.578
4.0083,50441.812
4.1167,55085.453
4.2250,57307.961
4.3333,56152.246
4.4417,52672.027
4.5500,46989.184
4.6583,40646.578
4.7667,33805.000
4.8750,28723.111
4.9833,25131.893
5.0917,21989.975
5.2000,19926.959
5.3083,19184.133
5.4167,18357.363
5.5250,18385.941
5.6333,18326.727
5.7417,17533.227
5.8500,17464.141
5.9583,17698.500
6.0667,17519.230
6.1750,17295.666
6.2833,17479.736
6.3917,17107.215
6.5000,17021.686
6.6083,16952.811
6.7167,17203.123
6.8250,17553.193
6.9333,17720.148
7.0417,18450.045
7.1500,18880.000
7.2583,19279.586
7.3667,20229.496
7.4750,21016.422
7.5833,21213.760
7.6917,22581.930
7.8000,23194.596
7.9083,23991.736
8.0167,24935.264
8.1250,25894.744
8.2333,27208.852
8.3417,28075.500
8.4500,29350.479
8.5583,30810.156
8.6667,31538.059
8.7750,32952.039
8.8833,34170.867
8.9917,35213.379
9.1000,35790.727
9.2083,36533.117
9.3167,37049.867
9.4250,37507.098
9.5333,38240.000
9.6417,38814.270
9.7500,39824.305
9.8583,40251.719
9.9667,40964.621
10.0750,41080.266
10.1833,40951.406
10.2917,40786.328
10.4000,40852.711
10.5083,40851.488
10.6167,40615.074
10.7250,40907.000
10.8333,41751.645
10.9417,41837.133
11.0500,40960.387
11.1583,41141.938
11.2667,41289.125
11.3750,42017.348
11.4833,41744.199
11.5917,40967.078
11.7000,40774.312
11.8083,40401.621
11.9167,38762.000
12.0250,37731.109
12.1333,37015.859
12.2417,35784.621
12.3500,34182.199
12.4583,33461.348
12.5667,31404.166
12.6750,29725.377
12.7833,28619.330
12.8917,28266.793
13.0000,28441.092
13.1083,29287.500
13.2167,30165.438
13.3250,30961.727
13.4333,30526.273
13.5417,30756.318
13.6500,30077.652
13.7583,28945.881
13.8667,27915.322
13.9750,26593.244
14.0833,25551.355
14.1917,24555.941
14.3000,23372.000
14.4083,22719.371
14.5167,22319.100
14.6250,21802.359
14.7333,21782.016
14.8417,21353.322
14.9500,21203.941
15.0583,21257.186
15.1667,20879.215
15.2750,20714.707
15.3833,20850.396
15.4917,20952.500
15.6000,20829.611
15.7083,20986.719
15.8167,21176.686
15.9250,20518.115
16.0333,19616.166
16.1417,17518.021
16.2500,16600.404
16.3583,15234.814
16.4667,13560.611
16.5750,12153.954
16.6833,11309.000
16.7917,9653.207
16.9000,8336.604
17.0083,7087.678
17.1167,6204.504
17.2250,5530.120
17.3333,5029.240
17.4417,4531.504
17.5500,4178.686
17.6583,3872.583
17.7667,3732.860
17.8750,3342.000
17.9833,3120.736
18.0917,2991.421
18.2000,2947.471
18.3083,2820.479
18.4167,2684.843
18.5250,2561.231
18.6333,2554.008
18.7417,2426.855
18.8500,2303.752
18.9583,2280.616
19.0667,2166.000
